A	(A)[N]
bedachtsam	((((bedacht)[F])[A])[N],(sam)[A|N.])[A]
Bedachtsamkeit	(((((bedacht)[F])[A])[N],(sam)[A|N.])[A],(keit)[N|A.])[N]
Bedachung	(((be)[V|.N],(Dach)[N])[V],(ung)[N|V.])[N]
bedampfen	((be)[V|.V],(dampf)[V])[V]
bedanken	((be)[V|.V],(dank)[V])[V]
Bedarf	((bedarf)[F])[N]
Bedarfsartikel	(((bedarf)[F])[N],(s)[N|N.N],(Artikel)[N])[N]
bedauern	((be)[V|.V],(dauer)[V])[V]
bedauerlich	(((be)[V|.V],(dauer)[V])[V],(lich)[A|V.])[A]
bedauerlicherweise	((((be)[V|.V],(dauer)[V])[V],(lich)[A|V.])[A],(er)[B|A.A],(weise)[A])[B]
Bedauern	((bedauern)[F])[N]
bedecken	((be)[V|.V],(deck)[V])[V]
bedeckt	((bedeckt)[F])[A]
Bedeckung	(((be)[V|.V],(deck)[V])[V],(ung)[N|V.])[N]
bedenken	((be)[V|.V],(denk)[V])[V]
Bedenken	((bedenken)[F])[N]
bedenkenlos	(((bedenken)[F])[N],(los)[A|N.])[A]
bedenkenswert	(((bedenken)[F])[N],(s)[A|N.A],(wert)[A])[A]
bedenklich	(((be)[V|.V],(denk)[V])[V],(lich)[A|V.])[A]
Bedenklichkeit	((((be)[V|.V],(denk)[V])[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
Bedenkzeit	(((be)[V|.V],(denk)[V])[V],(Zeit)[N])[N]
bedeuten	((be)[V|.V],(deut)[V])[V]
bedeutend	((bedeutend)[F])[A]
bedeutsam	(((be)[V|.V],(deut)[V])[V],(sam)[A|V.])[A]
Bedeutsamkeit	((((be)[V|.V],(deut)[V])[V],(sam)[A|V.])[A],(keit)[N|A.])[N]
Bedeutung	(((be)[V|.V],(deut)[V])[V],(ung)[N|V.])[N]
bedeutungslos	((((be)[V|.V],(deut)[V])[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Bedeutungslosigkeit	(((((be)[V|.V],(deut)[V])[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
bedeutungsvoll	((((be)[V|.V],(deut)[V])[V],(ung)[N|V.])[N],(s)[A|N.A],(voll)[A])[A]
Bedeutungswandel	((((be)[V|.V],(deut)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((wandel)[V])[N])[N]
bedienen	((be)[V|.V],(dien)[V])[V]
Bediener	(((be)[V|.V],(dien)[V])[V],(er)[N|V.])[N]
bedienstet	(bedienstet)[A]
Bedienstete	((bedienstet)[A],(e)[N|A.])[N]
Bedienung	(((be)[V|.V],(dien)[V])[V],(ung)[N|V.])[N]
Bedienungsgeld	((((be)[V|.V],(dien)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Geld)[N])[N]
bedingen	((be)[V|.N],(Ding)[N])[V]
bedingt	((bedingt)[F])[A]
Bedingtheit	(((bedingt)[F])[A],(heit)[N|A.])[N]
Bedingung	(((be)[V|.N],(Ding)[N])[V],(ung)[N|V.])[N]
Bedingungsform	((((be)[V|.N],(Ding)[N])[V],(ung)[N|V.])[N],(s)[N|N.N],(Form)[N])[N]
bedingungslos	((((be)[V|.N],(Ding)[N])[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Bedingungssatz	((((be)[V|.N],(Ding)[N])[V],(ung)[N|V.])[N],(s)[N|N.N],(Satz)[N])[N]
bedingungsweise	((((be)[V|.N],(Ding)[N])[V],(ung)[N|V.])[N],(s)[B|N.A],(weise)[A])[B]
bedraengen	((be)[V|.V],((dring)[V])[V])[V]
Bedraengnis	(((be)[V|.V],((dring)[V])[V])[V],(nis)[N|V.])[N]
Bedraengung	(((be)[V|.V],((dring)[V])[V])[V],(ung)[N|V.])[N]
bedrohen	((be)[V|.V],(droh)[V])[V]
bedrohlich	(((be)[V|.V],(droh)[V])[V],(lich)[A|V.])[A]
Bedrohung	(((be)[V|.V],(droh)[V])[V],(ung)[N|V.])[N]
bedruecken	((be)[V|.V],(drueck)[V])[V]
bedrucken	((be)[V|.V],(druck)[V])[V]
Bedrueckung	(((be)[V|.V],(drueck)[V])[V],(ung)[N|V.])[N]
Bedruckung	(((be)[V|.V],(druck)[V])[V],(ung)[N|V.])[N]
beduenken	((be)[V|.V],(duenk)[V])[V]
beduerfen	((be)[V|.V],(duerf)[V])[V]
Beduerfnis	(((be)[V|.V],(duerf)[V])[V],(nis)[N|V.])[N]
Beduerfnisanstalt	((((be)[V|.V],(duerf)[V])[V],(nis)[N|V.])[N],(Anstalt)[N])[N]
beduerfnislos	((((be)[V|.V],(duerf)[V])[V],(nis)[N|V.])[N],(los)[A|N.])[A]
beduerftig	(((be)[V|.V],(duerf)[V])[V],(tig)[A|V.])[A]
Beduerftigkeit	((((be)[V|.V],(duerf)[V])[V],(tig)[A|V.])[A],(keit)[N|A.])[N]
beduseln	((be)[V|.V],((Dusel)[N])[V])[V]
beehren	((be)[V|.V],((Ehre)[N])[V])[V]
beeiden	((be)[V|.N],(Eid)[N])[V]
beeidigen	(((be)[V|.N],(Eid)[N])[V],(ig)[V|V.])[V]
beeifern	((be)[V|.V],(eifer)[V])[V]
Beeiferung	(((be)[V|.V],(eifer)[V])[V],(ung)[N|V.])[N]
beeilen	((be)[V|.V],(eil)[V])[V]
Beeilung	(((be)[V|.V],(eil)[V])[V],(ung)[N|V.])[N]
beeindrucken	((be)[V|.N],(((ein)[V|.V],(drueck)[V])[V])[N])[V]
beeindruckend	((beeindruckend)[F])[A]
beeinflussen	((be)[V|.N],(((ein)[V|.V],(fliess)[V])[V])[N])[V]
beeinflussbar	(((be)[V|.N],(((ein)[V|.V],(fliess)[V])[V])[N])[V],(bar)[A|V.])[A]
Beeinflussbarkeit	((((be)[V|.N],(((ein)[V|.V],(fliess)[V])[V])[N])[V],(bar)[A|V.])[A],(keit)[N|A.])[N]
Beeinflussung	(((be)[V|.N],(((ein)[V|.V],(fliess)[V])[V])[N])[V],(ung)[N|V.])[N]
beeintraechtigen	((be)[V|.Nx],(Eintracht)[N],(ig)[V|xN.])[V]
Beeintraechtigung	(((be)[V|.Nx],(Eintracht)[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
beenden	((be)[V|.V],((Ende)[N])[V])[V]
beendigen	(((be)[V|.V],((Ende)[N])[V])[V],(ig)[V|V.])[V]
Beendigung	((((be)[V|.V],((Ende)[N])[V])[V],(ig)[V|V.])[V],(ung)[N|V.])[N]
Beendung	(((be)[V|.V],((Ende)[N])[V])[V],(ung)[N|V.])[N]
beengen	((be)[V|.A],(eng)[A])[V]
Beengtheit	((beengt)[F],(heit)[N|F.])[N]
Beengung	(((be)[V|.A],(eng)[A])[V],(ung)[N|V.])[N]
beerben	((be)[V|.V],(erb)[V])[V]
Beerbung	(((be)[V|.V],(erb)[V])[V],(ung)[N|V.])[N]
beerden	((be)[V|.V],((Erde)[N])[V])[V]
beerdigen	((be)[V|.Nx],(Erde)[N],(ig)[V|xN.])[V]
Beerdigung	(((be)[V|.Nx],(Erde)[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
Beerdigungsinstitut	((((be)[V|.Nx],(Erde)[N],(ig)[V|xN.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Institut)[N])[N]
Beere	(Beere)[N]
Beerenauslese	((Beere)[N],(n)[N|N.N],(((aus)[V|.V],(les)[V])[V],(e)[N|V.])[N])[N]
beerenfoermig	((Beere)[N],(n)[A|N.Nx],(Form)[N],(ig)[A|NxN.])[A]
Beerenobst	((Beere)[N],(n)[N|N.N],(Obst)[N])[N]
Beet	(Beet)[N]
befaehigen	((be)[V|.A],(faehig)[A])[V]
Befaehigung	(((be)[V|.A],(faehig)[A])[V],(ung)[N|V.])[N]
Befaehigungsnachweis	((((be)[V|.A],(faehig)[A])[V],(ung)[N|V.])[N],(s)[N|N.N],(((nach)[P],(weis)[V])[V])[N])[N]
befahren	((be)[V|.V],(fahr)[V])[V]
befahrbar	(((be)[V|.V],(fahr)[V])[V],(bar)[A|V.])[A]
befallen	((be)[V|.V],(fall)[V])[V]
Befall	(((be)[V|.V],(fall)[V])[V])[N]
befangen	((be)[V|.V],(fang)[V])[V]
befangen	((befangen)[F])[A]
Befangenheit	(((befangen)[F])[A],(heit)[N|A.])[N]
befassen	((be)[V|.V],((Fass)[N])[V])[V]
befehden	((be)[V|.N],(Fehde)[N])[V]
Befehdung	(((be)[V|.N],(Fehde)[N])[V],(ung)[N|V.])[N]
befehlen	(befehl)[V]
Befehl	((befehl)[V])[N]
befehlerisch	((befehl)[V],(erisch)[A|V.])[A]
befehligen	(((befehl)[V])[N],(ig)[V|N.])[V]
Befehlsausgabe	(((befehl)[V])[N],(s)[N|N.N],(((aus)[V|.V],(geb)[V])[V])[N])[N]
Befehlsempfaenger	(((befehl)[V])[N],(s)[N|N.Vx],(empfang)[V],(er)[N|NxV.])[N]
befehlsgemaess	(((befehl)[V])[N],(s)[A|N.A],(gemaess)[A])[A]
Befehlsgewalt	(((befehl)[V])[N],(s)[N|N.N],(Gewalt)[N])[N]
Befehlshaber	(((befehl)[V])[N],(s)[N|N.Vx],(hab)[V],(er)[N|NxV.])[N]
Befehlsverweigerung	(((befehl)[V])[N],(s)[N|N.Vx],((ver)[V|.V],(weiger)[V])[V],(ung)[N|NxV.])[N]
befeinden	((be)[V|.N],(Feind)[N])[V]
befestigen	((be)[V|.Ax],(fest)[A],(ig)[V|xA.])[V]
Befestigung	(((be)[V|.Ax],(fest)[A],(ig)[V|xA.])[V],(ung)[N|V.])[N]
Befestigungsanlage	((((be)[V|.Ax],(fest)[A],(ig)[V|xA.])[V],(ung)[N|V.])[N],(s)[N|N.N],(((an)[V|.V],(leg)[V])[V])[N])[N]
befeuchten	((be)[V|.A],(feucht)[A])[V]
Befeuchtung	(((be)[V|.A],(feucht)[A])[V],(ung)[N|V.])[N]
befeuern	((be)[V|.V],((Feuer)[N])[V])[V]
Befeuerung	(((be)[V|.V],((Feuer)[N])[V])[V],(ung)[N|V.])[N]
befiedern	((be)[V|.N],(Feder)[N])[V]
befinden	((be)[V|.V],(find)[V])[V]
Befinden	((befinden)[F])[N]
befindlich	(((be)[V|.V],(find)[V])[V],(lich)[A|V.])[A]
befingern	((be)[V|.V],((Finger)[N])[V])[V]
befischen	((be)[V|.V],((Fisch)[N])[V])[V]
beflaggen	((be)[V|.N],(Flagge)[N])[V]
Beflaggung	(((be)[V|.N],(Flagge)[N])[V],(ung)[N|V.])[N]
beflecken	((be)[V|.N],(Fleck)[N])[V]
Befleckung	(((be)[V|.N],(Fleck)[N])[V],(ung)[N|V.])[N]
befleissigen	((be)[V|.Nx],(Fleiss)[N],(ig)[V|xN.])[V]
befliegen	((be)[V|.V],(flieg)[V])[V]
beflissen	(beflissen)[A]
Beflissenheit	((beflissen)[A],(heit)[N|A.])[N]
beflissentlich	((beflissen)[A],(tlich)[B|A.])[B]
befluegeln	((be)[V|.V],((Fluegel)[N])[V])[V]
befluten	((be)[V|.V],((Flut)[N])[V])[V]
Beflutung	(((be)[V|.V],((Flut)[N])[V])[V],(ung)[N|V.])[N]
befolgen	((be)[V|.V],(folg)[V])[V]
Befolgung	(((be)[V|.V],(folg)[V])[V],(ung)[N|V.])[N]
befoerdern	((be)[V|.V],(foerder)[V])[V]
befoerderbar	(((be)[V|.V],(foerder)[V])[V],(bar)[A|V.])[A]
Befoerderer	(((be)[V|.V],(foerder)[V])[V],(er)[N|V.])[N]
befoerderlich	(((be)[V|.V],(foerder)[V])[V],(lich)[A|V.])[A]
Befoerderung	(((be)[V|.V],(foerder)[V])[V],(ung)[N|V.])[N]
Befoerderungsmittel	((((be)[V|.V],(foerder)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Mittel)[N])[N]
Befoerderungstarif	((((be)[V|.V],(foerder)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Tarif)[N])[N]
beforsten	((be)[V|.N],(Forst)[N])[V]
befoerstern	((be)[V|.N],((Forst)[N],(er)[N|N.])[N])[V]
Befoersterung	(((be)[V|.N],((Forst)[N],(er)[N|N.])[N])[V],(ung)[N|V.])[N]
Beforstung	(((be)[V|.N],(Forst)[N])[V],(ung)[N|V.])[N]
befrachten	((be)[V|.V],((Fracht)[N])[V])[V]
Befrachter	(((be)[V|.V],((Fracht)[N])[V])[V],(er)[N|V.])[N]
Befrachtung	(((be)[V|.V],((Fracht)[N])[V])[V],(ung)[N|V.])[N]
befrackt	(befrackt)[A]
befragen	((be)[V|.V],(frag)[V])[V]
Befragung	(((be)[V|.V],(frag)[V])[V],(ung)[N|V.])[N]
befransen	((be)[V|.N],(Franse)[N])[V]
befranst	((befranst)[F])[A]
befreien	((be)[V|.A],(frei)[A])[V]
Befreier	(((be)[V|.A],(frei)[A])[V],(er)[N|V.])[N]
Befreiung	(((be)[V|.A],(frei)[A])[V],(ung)[N|V.])[N]
Befreiungsbewegung	((((be)[V|.A],(frei)[A])[V],(ung)[N|V.])[N],(s)[N|N.N],((beweg)[V],(ung)[N|V.])[N])[N]
Befreiungskampf	((((be)[V|.A],(frei)[A])[V],(ung)[N|V.])[N],(s)[N|N.N],((kaempf)[V])[N])[N]
befremden	((be)[V|.A],(fremd)[A])[V]
Befremden	((befremden)[F])[N]
befremdlich	(((be)[V|.A],(fremd)[A])[V],(lich)[A|V.])[A]
Befremdung	(((be)[V|.A],(fremd)[A])[V],(ung)[N|V.])[N]
befreunden	((be)[V|.N],(Freund)[N])[V]
befreundet	((befreundet)[F])[A]
befrieden	((be)[V|.V],(fried)[V])[V]
befriedigen	(((be)[V|.V],(fried)[V])[V],(ig)[V|V.])[V]
befriedigend	((befriedigend)[F])[A]
Befriedigung	((((be)[V|.V],(fried)[V])[V],(ig)[V|V.])[V],(ung)[N|V.])[N]
befristen	((be)[V|.N],(Frist)[N])[V]
Befristung	(((be)[V|.N],(Frist)[N])[V],(ung)[N|V.])[N]
befruchten	((be)[V|.N],(Frucht)[N])[V]
Befruchtung	(((be)[V|.N],(Frucht)[N])[V],(ung)[N|V.])[N]
befugen	((be)[V|.V],(((fueg)[V],(e)[N|V.])[N])[V])[V]
Befugnis	(((be)[V|.V],(((fueg)[V],(e)[N|V.])[N])[V])[V],(nis)[N|V.])[N]
befugt	((befugt)[F])[A]
befuehlen	((be)[V|.V],(fuehl)[V])[V]
befuellen	((be)[V|.V],(fuell)[V])[V]
befummeln	((be)[V|.V],(fummel)[V])[V]
Befund	(((be)[V|.V],(find)[V])[V])[N]
befuerchten	((be)[V|.V],((Furcht)[N])[V])[V]
Befuerchtung	(((be)[V|.V],((Furcht)[N])[V])[V],(ung)[N|V.])[N]
befuersorgen	((be)[V|.N],((fuer)[P],(Sorge)[N])[N])[V]
befuerworten	((be)[V|.N],((fuer)[P],(Wort)[N])[N])[V]
Befuerworter	(((be)[V|.N],((fuer)[P],(Wort)[N])[N])[V],(er)[N|V.])[N]
Befuerwortung	(((be)[V|.N],((fuer)[P],(Wort)[N])[N])[V],(ung)[N|V.])[N]
begaben	((be)[V|.N],((geb)[V])[N])[V]
begabt	((begabt)[F])[A]
Begabtenfoerderung	(((begabt)[F])[A],(en)[N|A.N],((foerder)[V],(ung)[N|V.])[N])[N]
Begabung	(((be)[V|.N],((geb)[V])[N])[V],(ung)[N|V.])[N]
Begaengnis	(Begaengnis)[N]
begatten	((be)[V|.V],((Gatte)[N])[V])[V]
begaunern	((be)[V|.N],(Gauner)[N])[V]
begeben	((be)[V|.V],(geb)[V])[V]
Begebenheit	(Begebenheit)[N]
Begebnis	(((be)[V|.V],(geb)[V])[V],(nis)[N|V.])[N]
begegnen	((be)[V|.P],(gegen)[P])[V]
Begegnung	(((be)[V|.P],(gegen)[P])[V],(ung)[N|V.])[N]
begehen	((be)[V|.V],(geh)[V])[V]
begehbar	(((be)[V|.V],(geh)[V])[V],(bar)[A|V.])[A]
begehren	(begehr)[V]
Begehr	((begehr)[V])[N]
begehrenswert	((begehren)[F],(s)[A|F.A],(wert)[A])[A]
begeistern	((be)[V|.Nx],(Geist)[N],(er)[V|xN.])[V]
Begeisterung	(((be)[V|.Nx],(Geist)[N],(er)[V|xN.])[V],(ung)[N|V.])[N]
Begeisterungssturm	((((be)[V|.Nx],(Geist)[N],(er)[V|xN.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Sturm)[N])[N]
Begier	((be)[N|.N],(Gier)[N])[N]
Begierde	(((be)[N|.N],(Gier)[N])[N],(de)[N|N.])[N]
begierig	(((be)[N|.N],(Gier)[N])[N],(ig)[A|N.])[A]
begiessen	((be)[V|.V],(giess)[V])[V]
beginnen	(beginn)[V]
Beginn	((beginn)[V])[N]
Beginnen	((beginnen)[F])[N]
beglaubigen	((be)[V|.Nx],((glaub)[V],(e)[N|V.])[N],(ig)[V|xN.])[V]
Beglaubigung	(((be)[V|.Nx],((glaub)[V],(e)[N|V.])[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
Beglaubigungsschreiben	((((be)[V|.Nx],((glaub)[V],(e)[N|V.])[N],(ig)[V|xN.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Schreiben)[N])[N]
begleichen	((be)[V|.V],((gleich)[A])[V])[V]
Begleichung	(((be)[V|.V],((gleich)[A])[V])[V],(ung)[N|V.])[N]
begleiten	((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V]
Begleitadresse	(((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(Adresse)[N])[N]
Begleiter	(((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(er)[N|V.])[N]
Begleiterin	((((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(er)[N|V.])[N],(in)[N|N.])[N]
Begleiterscheinung	(((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(((er)[V|.V],(schein)[V])[V],(ung)[N|V.])[N])[N]
Begleitung	(((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(ung)[N|V.])[N]
beglotzen	((be)[V|.V],(glotz)[V])[V]
begluecken	((be)[V|.N],(Glueck)[N])[V]
beglueckwuenschen	((be)[V|.N],((Glueck)[N],(Wunsch)[N])[N])[V]
begnaden	((be)[V|.N],(Gnade)[N])[V]
begnadet	((begnadet)[F])[A]
begnadigen	((be)[V|.Nx],(Gnade)[N],(ig)[V|xN.])[V]
Begnadigung	(((be)[V|.Nx],(Gnade)[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
begnuegen	((be)[V|.V],((genug)[B])[V])[V]
Begonie	(Begonie)[N]
begraben	((be)[V|.V],(grab)[V])[V]
Begraebnis	(((be)[V|.V],(grab)[V])[V],(nis)[N|V.])[N]
begradigen	((be)[V|.Ax],(gerade)[A],(ig)[V|xA.])[V]
Begradigung	(((be)[V|.Ax],(gerade)[A],(ig)[V|xA.])[V],(ung)[N|V.])[N]
begreifen	((be)[V|.V],(greif)[V])[V]
begreiflich	(((be)[V|.V],(greif)[V])[V],(lich)[A|V.])[A]
begrenzen	((be)[V|.V],(grenz)[V])[V]
begrenzt	((begrenzt)[F])[A]
Begrenzung	(((be)[V|.V],(grenz)[V])[V],(ung)[N|V.])[N]
Begriff	((begriff)[F])[N]
begrifflich	(((begriff)[F])[N],(lich)[A|N.])[A]
begruenen	((be)[V|.V],((gruen)[A])[V])[V]
begruenden	((be)[V|.V],((Grund)[N])[V])[V]
begruendbar	(((be)[V|.V],((Grund)[N])[V])[V],(bar)[A|V.])[A]
Begruender	(((be)[V|.V],((Grund)[N])[V])[V],(er)[N|V.])[N]
Begruendung	(((be)[V|.V],((Grund)[N])[V])[V],(ung)[N|V.])[N]
begruessen	((be)[V|.V],(gruess)[V])[V]
Begruessung	(((be)[V|.V],(gruess)[V])[V],(ung)[N|V.])[N]
begucken	((be)[V|.V],(guck)[V])[V]
beguenstigen	((be)[V|.Nx],((goenn)[V])[N],(ig)[V|xN.])[V]
begutachten	((be)[V|.V],((gut)[A],(((acht)[Q])[N])[V])[V])[V]
Begutachtung	(((be)[V|.V],((gut)[A],(((acht)[Q])[N])[V])[V])[V],(ung)[N|V.])[N]
beguetert	((be)[A|.Nx],((gut)[A])[N],(ert)[A|xN.])[A]
beguetigen	((be)[V|.Ax],(gut)[A],(ig)[V|xA.])[V]
behaaren	((be)[V|.V],((Haar)[N])[V])[V]
Behaarung	(((be)[V|.V],((Haar)[N])[V])[V],(ung)[N|V.])[N]
behaebig	((be)[A|.Nx],((hab)[V],(e)[N|V.])[N],(ig)[A|xN.])[A]
behaften	((be)[V|.V],(haft)[V])[V]
behagen	(behag)[V]
Behagen	((behagen)[F])[N]
behaglich	((behag)[V],(lich)[A|V.])[A]
Behaglichkeit	(((behag)[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
behalten	((be)[V|.V],(halt)[V])[V]
Behaelter	(((be)[V|.V],(halt)[V])[V],(er)[N|V.])[N]
behaemmern	((be)[V|.V],((Hammer)[N])[V])[V]
behandeln	((be)[V|.V],(handel)[V])[V]
Behandlung	(((be)[V|.V],(handel)[V])[V],(ung)[N|V.])[N]
behaengen	((be)[V|.V],(haeng)[V])[V]
Behang	(((be)[V|.V],(haeng)[V])[V])[N]
behangen	((behaengen)[F])[A]
beharren	((be)[V|.V],(harr)[V])[V]
beharrlich	(((be)[V|.V],(harr)[V])[V],(lich)[A|V.])[A]
Beharrung	(((be)[V|.V],(harr)[V])[V],(ung)[N|V.])[N]
Beharrungsvermoegen	((((be)[V|.V],(harr)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((vermoegen)[F])[N])[N]
behauen	((be)[V|.V],(hau)[V])[V]
behauchen	((be)[V|.V],(hauch)[V])[V]
behaupten	(behaupt)[V]
Behauptung	((behaupt)[V],(ung)[N|V.])[N]
behausen	((be)[V|.N],(Haus)[N])[V]
Behausung	(((be)[V|.N],(Haus)[N])[V],(ung)[N|V.])[N]
beheben	((be)[V|.V],(heb)[V])[V]
Behebung	(((be)[V|.V],(heb)[V])[V],(ung)[N|V.])[N]
beheimaten	((be)[V|.N],(Heimat)[N])[V]
beheizen	((be)[V|.V],((Hitze)[N])[V])[V]
behelfen	((be)[V|.V],(helf)[V])[V]
Behelf	(((be)[V|.V],(helf)[V])[V])[N]
behelfsmaessig	(((be)[V|.V],(helf)[V])[V],(s)[A|V.x],(maessig)[A|Vx.])[A]
behelligen	(behellig)[V]
behelmt	((be)[A|.Nx],(Helm)[N],(t)[A|xN.])[A]
behend	(behend)[A]
behende	(behende)[A]
Behendigkeit	((behende)[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
beherbergen	((be)[V|.V],(((Heer)[N],(berg)[V],(e)[N|NV.])[N])[V])[V]
Beherbergung	(((be)[V|.V],(((Heer)[N],(berg)[V],(e)[N|NV.])[N])[V])[V],(ung)[N|V.])[N]
beherrschen	((be)[V|.V],(herrsch)[V])[V]
beherrschbar	(((be)[V|.V],(herrsch)[V])[V],(bar)[A|V.])[A]
Beherrscher	(((be)[V|.V],(herrsch)[V])[V],(er)[N|V.])[N]
Beherrschung	(((be)[V|.V],(herrsch)[V])[V],(ung)[N|V.])[N]
beherzt	((be)[V|.N],(Herz)[N])[V]
beherzigen	((be)[V|.Nx],(Herz)[N],(ig)[V|xN.])[V]
beherzigenswert	((beherzigen)[F],(s)[A|F.A],(wert)[A])[A]
Beherzigung	(((be)[V|.Nx],(Herz)[N],(ig)[V|xN.])[V],(ung)[N|V.])[N]
beherzt	((beherzt)[F])[A]
Beherztheit	(((beherzt)[F])[A],(heit)[N|A.])[N]
behexen	((be)[V|.V],(hex)[V])[V]
behilflich	((be)[A|.Nx],((helf)[V])[N],(lich)[A|xN.])[A]
behindern	((be)[V|.V],(hinder)[V])[V]
Behinderung	(((be)[V|.V],(hinder)[V])[V],(ung)[N|V.])[N]
behobeln	((be)[V|.V],((Hobel)[N])[V])[V]
behorchen	((be)[V|.V],(horch)[V])[V]
Behoerde	(Behoerde)[N]
behoerdlich	((Behoerde)[N],(lich)[A|N.])[A]
behoerdlicherseits	(((Behoerde)[N],(lich)[A|N.])[A],(er)[B|A.Nx],(Seite)[N],(s)[B|AxN.])[B]
behueten	((be)[V|.V],(huet)[V])[V]
behuetet	((behuetet)[F])[A]
behutsam	(((be)[V|.V],(huet)[V])[V],(sam)[A|V.])[A]
Behutsamkeit	((((be)[V|.V],(huet)[V])[V],(sam)[A|V.])[A],(keit)[N|A.])[N]
bei	(bei)[P]
beibehalten	((bei)[V|.V],((be)[V|.V],(halt)[V])[V])[V]
Beiboot	((bei)[N|.N],(Boot)[N])[N]
beibringen	((bei)[V|.V],(bring)[V])[V]
beichten	(beicht)[V]
Beichte	((beicht)[V],(e)[N|V.])[N]
Beichtgeheimnis	((beicht)[V],((geheim)[A],(nis)[N|A.])[N])[N]
Beichtkind	((beicht)[V],(Kind)[N])[N]
Beichtstuhl	((beicht)[V],(Stuhl)[N])[N]
beide	(beid)[O]
beidhaendig	((beid)[O],(Hand)[N],(ig)[A|ON.])[A]
beidrehen	((bei)[V|.V],(dreh)[V])[V]
beidseits	((beid)[O],(Seite)[N],(s)[P|ON.])[P]
beidseits	((beid)[O],(Seite)[N],(s)[B|ON.])[B]
beieinander	((bei)[B|.O],((ein)[Q],(ander)[O])[O])[B]
beieinanderhocken	(((bei)[B|.O],((ein)[Q],(ander)[O])[O])[B],(hock)[V])[V]
Beifahrer	((bei)[N|.N],((fahr)[V],(er)[N|V.])[N])[N]
Beifall	(Beifall)[N]
beifallheischend	((Beifall)[N],(heischend)[F])[A]
beifaellig	((Beifall)[N],(ig)[A|N.])[A]
Beifallskundgebung	((Beifall)[N],(s)[N|N.N],((((Kunde)[N])[V],(geb)[V])[V],(ung)[N|V.])[N])[N]
Beifallssturm	((Beifall)[N],(s)[N|N.N],(Sturm)[N])[N]
Beifilm	((bei)[N|.N],(Film)[N])[N]
beifolgend	((bei)[A|.F],(folgend)[F])[A]
beifuegen	((bei)[V|.V],(fueg)[V])[V]
Beifuegung	(((bei)[V|.V],(fueg)[V])[V],(ung)[N|V.])[N]
Beigabe	(((bei)[V|.V],(geb)[V])[V])[N]
Beige	(Beige)[N]
beige	(Beige)[A]
beigeben	((bei)[V|.V],(geb)[V])[V]
beigefarben	((Beige)[A],(Farbe)[N],(n)[A|AN.])[A]
Beigeschmack	((bei)[N|.N],((ge)[N|.V],(schmeck)[V])[N])[N]
beigesellen	((bei)[V|.V],(gesell)[V])[V]
Beihilfe	((bei)[N|.N],((helf)[V])[N])[N]
Beiklang	((bei)[N|.N],((klang)[F])[N])[N]
beikommen	((bei)[V|.V],(komm)[V])[V]
Beil	(Beil)[N]
Beilage	(((bei)[V|.V],(leg)[V])[V])[N]
beilaeufig	((bei)[A|.Vx],(lauf)[V],(ig)[A|xV.])[A]
Beilaeufigkeit	(((bei)[A|.Vx],(lauf)[V],(ig)[A|xV.])[A],(keit)[N|A.])[N]
beilegen	((bei)[V|.V],(leg)[V])[V]
beileibe	((bei)[B|.Nx],(Leib)[N],(e)[B|xN.])[B]
Beileid	((bei)[N|.N],((leid)[A])[N])[N]
Beileidsbezeigung	(((bei)[N|.N],((leid)[A])[N])[N],(s)[N|N.Vx],((be)[V|.V],(zeig)[V])[V],(ung)[N|NxV.])[N]
beiliegen	((bei)[P],(lieg)[V])[V]
beiliegend	((beiliegend)[F])[A]
beimengen	((bei)[V|.V],(meng)[V])[V]
beimessen	((bei)[V|.V],(mess)[V])[V]
beimischen	((bei)[V|.V],(misch)[V])[V]
beimpfen	((be)[V|.V],(impf)[V])[V]
Bein	(Bein)[N]
beinah	((bei)[B|.A],(nah)[A])[B]
Beiname	((bei)[N|.N],(Name)[N])[N]
beinamputiert	((Bein)[N],(amputiert)[F])[A]
